Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID,"Amount, mg (left)"
1181202-Y4-01,AA05,20200513_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=NC=C(Br)C2,Z4457849241,4,100,,Racemic or presumed racemic or meso,Z4457849241,UNK,UNK
1181202-Y4-01,Y05,20200513_enamine_to_xchem.csv,CC=1C(Br)=CN=CC1C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NC(C)(C)C,Z4457849242,4,100,,Racemic or presumed racemic or meso,Z4457849242,UNK,UNK
1181202-Y4-01,AF05,20200513_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=NC=C3C=CC=CC23,Z4457849239,4,100,,Racemic or presumed racemic or meso,Z4457849239,UNK,UNK
1181202-Y4-01,AE05,20200513_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=NC=C(Cl)C2,Z4457849240,4,100,,Racemic or presumed racemic or meso,Z4457849240,UNK,UNK
1181202-Y4-01,Z06,20200513_enamine_to_xchem.csv,C=CC(=O)N1CCN(CC2=CNC=3C=CC(C#N)=CC23)CC1,JAN-GHE-bf4-9,4,100,,Achiral,Z4461624347,UNK,UNK
1181202-Y4-01,T06,20200513_enamine_to_xchem.csv,ClCC(=O)N1CC2CC1CN2CC=3C=CC=C(Cl)C3,DAN-LON-a5f-8,4,100,DAN-LON-a5fc619e-8,Diastereomeric mixture,Z4461624335,UNK,UNK
1181202-Y4-01,W06,20200513_enamine_to_xchem.csv,OC=1C=CC(O)=C(CN2CCN(CC2)C(=O)CCl)C1,NEH-REV-107-5,4,100,,Achiral,Z4461624337,UNK,UNK
1181202-Y4-01,N06,20200513_enamine_to_xchem.csv,CCC=1C=CC=CC1NC=2N=C(N)N=C(CSC3=NN=C4C=CC=CN34)N2,SER-UNI-985-4,4,100,,Achiral,Z20242202,UNK,UNK
1181202-Y4-01,G06,20200513_enamine_to_xchem.csv,CN(CC(=O)NC=1C=NC=CC1C)S(=O)(=O)C=2C=CC=C3C=CC=NC23,GAB-REV-70c-8,4,100,,Achiral,Z4444622216,UNK,UNK
1181202-Y4-01,M06,20200513_enamine_to_xchem.csv,ClC=1C=CC=C(C1)C(=O)C(C#N)C(=O)NC=2C=CC=CC2,Z638912400,4,100,,Racemic or presumed racemic or meso,Z638912400,UNK,UNK
1181202-Y4-01,S06,20200513_enamine_to_xchem.csv,FC(Cl)C(=O)N1CCCC(C1)C2=NC=3C=CC=CC3S2,JOO-IND-b13-2,4,100,,Diastereomeric mixture,Z4461624254,UNK,UNK
1181202-Y4-01,Y06,20200513_enamine_to_xchem.csv,ClC=1C=CC=CC1CN(CCN2CCOCC2)C(=O)CNC(=O)C=C,JUA-UNI-bc0-3_thio_pH,4,100,,Achiral,Z4461624285,UNK,UNK
1181202-Y4-01,V05,20200513_enamine_to_xchem.csv,CC=1C=C(N)C=C(C1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,Z4459610281,4,100,,Racemic or presumed racemic or meso,Z4459610281,UNK,UNK
1181202-Y4-01,U06,20200513_enamine_to_xchem.csv,CC1CN(CC=2C=CC=C(Cl)C2)CCN1C(=O)CCl,JOH-UNI-27a-29_thio_pH,4,100,,Racemic or presumed racemic or meso,Z4461624193,UNK,UNK
1181202-Y4-01,V06,20200513_enamine_to_xchem.csv,ClCC(=O)N1CCN(CC=2C=C(Cl)C=C(Cl)C2)CC1,PAU-UNI-8cd-1,4,100,,Achiral,Z4461624330,UNK,UNK
1181202-Y4-01,AB06,20200513_enamine_to_xchem.csv,FC(Cl)C(=O)NC=1C=CC=C(C1)C(=O)N2CCSCC2,JOO-IND-637-2,4,100,,Racemic or presumed racemic or meso,Z4461624332,UNK,UNK
1181202-Y4-01,X06,20200513_enamine_to_xchem.csv,CS(=O)(=O)N1CCN(CC1C=2C=CC=CC2)C(=O)CCl,DUN-NEW-f8c-22,4,100,DUN-NEW-f8ce3686-22,Racemic or presumed racemic or meso,Z4461624304,UNK,UNK
1181202-Y4-01,R06,20200513_enamine_to_xchem.csv,CC(CCC=1C=CC=CC1)N2CCN(CC2)C(=O)CCl,MAK-UNK-af8-2,4,100,,Racemic or presumed racemic or meso,Z4461624310,UNK,UNK
1181202-Y4-01,S05,20200513_enamine_to_xchem.csv,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC=2C=CC=CC2)C=3C=CC=NC3)C(=O)C=C,Z4457849227,4,100,,Racemic or presumed racemic or meso,Z4457849227,UNK,UNK
1181202-Y4-01,E06,20200513_enamine_to_xchem.csv,ClC=1C=CC=C(CC(=O)NC=2C=CC=NC2C#N)C1,AGN-NEW-c7b-4,4,100,AGN-NEW-c7b24fe3-4,Achiral,Z4444622186,UNK,UNK
1181202-Y4-01,O06,20200513_enamine_to_xchem.csv,O=S1(=O)CCC(C1)N2CCN(CC2)C=3N=C(N=C4C=CC=CC34)C=5C=CC=NC5,AUS-ARG-7cf-15,4,100,,Racemic or presumed racemic or meso,Z90167687,UNK,UNK
1181202-Y4-01,B06,20200513_enamine_to_xchem.csv,FC=1C=CC(NC(=O)NCCNC=2C=CN=C3C=C(Cl)C=CC23)=CC1,GAB-FAC-880-1,4,100,,Achiral,Z4444622149,UNK,UNK
1181202-Y4-01,Q06,20200513_enamine_to_xchem.csv,OC=1C=CC(Cl)=CC1C(=O)NC=2C=NC=CC2Cl,CHR-SOS-709-10,4,100,CHR-SOS-7098f804-10,Achiral,Z1570773318,UNK,UNK
1181202-Y4-01,AA06,20200513_enamine_to_xchem.csv,CC(Cl)C(=O)N1CCC(CC1)C(=O)N2CCCCC2,Z1562119681,4,100,,Racemic or presumed racemic or meso,Z1562119681,UNK,UNK
1181202-Y4-01,K06,20200513_enamine_to_xchem.csv,OC=1C=CC(NCC=2C=CC=C(C#N)C2)=CC1,MIH-UNI-6b9-5,4,100,MIH-UNI-6b9ca91a-5,Achiral,Z445693752,UNK,UNK
1181202-Y4-01,R05,20200513_enamine_to_xchem.csv,COC(=O)C1CC(C1)NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3,Z4457849188,4,100,,Diastereomeric mixture,Z4457849188,UNK,UNK
1181202-Y4-01,I06,20200513_enamine_to_xchem.csv,OC=1C=C(Cl)C=C(CN2CCN(CC2)C(=O)CCl)C1,KIM-UNI-2ee-1,4,100,,Achiral,Z4450620215,UNK,UNK
1181202-Y4-01,L06,20200513_enamine_to_xchem.csv,ClC=1C=CC=C(C1)C(=O)NC=2C=NC=CC2Cl,CHR-SOS-709-21,4,100,CHR-SOS-7098f804-21,Achiral,Z1209475970,UNK,UNK
1181202-Y4-01,P06,20200513_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=CC=3NC=NC3C2,GAB-REV-70c-18,4,100,,Achiral,Z4444735062,UNK,UNK
1181202-Y4-01,F06,20200513_enamine_to_xchem.csv,O=C(NC=1C=CC(NC=2C=CC(C#N)=CN2)=CC1)NC=3C=CC=NC3,MAK-UNK-30a-12,4,100,,Achiral,Z4444621912,UNK,UNK
1181202-Y4-01,G07,20200513_enamine_to_xchem.csv,OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC(=CC2)[N+](=O)[O-],CHR-SOS-709-3,4,100,CHR-SOS-7098f804-3,Achiral,Z244459584,UNK,UNK
1181202-Y4-01,D06,20200513_enamine_to_xchem.csv,O=C(CC(=O)N1CCOCC1)NC2CCCCC2,GIA-UNK-3f3-1,4,100,GIA-UNK-3f36037a-1,Achiral,Z2933493013,UNK,UNK
1181202-Y4-01,AD06,20200513_enamine_to_xchem.csv,NC(=O)[C@@H]1CN(C[C@H]1C=2C=CC=CC2)C3CCOCC3,DUN-NEW-f8c-1,4,100,DUN-NEW-f8ce3686-1,Racemic diastereomer with known relative stereochemistry,Z4266576100,UNK,UNK
1181202-Y4-01,J06,20200513_enamine_to_xchem.csv,O=C(CC(=O)N1CCOCC1)NCC=2C=CC=CC2,GIA-UNK-3f3-6,4,100,GIA-UNK-3f36037a-6,Achiral,Z2933493882,UNK,UNK
1181202-Y4-01,C06,20200513_enamine_to_xchem.csv,OCCOC=1N=CC=CC1C(=O)NCC=2C=NN3C=CC=CC23,BAR-COM-4e0-40,4,100,,Achiral,Z4444622118,UNK,UNK
1181202-Y4-01,AC06,20200513_enamine_to_xchem.csv,ClC=1C=CC(OC=2C=CC=CC2C(=O)NCC3=CC=NO3)=C(Cl)C1,BAR-COM-4e0-42,4,100,,Achiral,Z1673773262,UNK,UNK
1181202-Y4-01,A06,20200513_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CNC(=O)CC=2C=CC=NC2,GAB-REV-70c-13,4,100,,Achiral,Z4444622117,UNK,UNK
1181202-Y4-01,H06,20200513_enamine_to_xchem.csv,O=C(NC(CC=1C=CC=CC1)C(=O)N2CCCC2)NC=3C=CN=NC3,BAR-COM-4e0-56,4,100,,Racemic or presumed racemic or meso,Z2313212158,UNK,UNK
1181202-Y4-01,M05,20200513_enamine_to_xchem.csv,CCOC(=O)CCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,Z4457849189,4,100,,Racemic or presumed racemic or meso,Z4457849189,UNK,UNK
1181202-Y4-01,D07,20200513_enamine_to_xchem.csv,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC=2C=CC=NC2)C=3C=CC=NC3)C(=O)C=C,Z4457849215,4,100,,Racemic or presumed racemic or meso,Z4457849215,UNK,UNK
1181202-Y4-01,T05,20200513_enamine_to_xchem.csv,CCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,Z4457849217,4,100,,Racemic or presumed racemic or meso,Z4457849217,UNK,UNK
1181202-Y4-01,C07,20200513_enamine_to_xchem.csv,COCCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,Z4457849214,4,100,,Racemic or presumed racemic or meso,Z4457849214,UNK,UNK
1181202-Y4-01,J05,20200513_enamine_to_xchem.csv,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC=2C=CC(F)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4457849210,4,100,,Racemic or presumed racemic or meso,Z4457849210,UNK,UNK
1181202-Y4-01,B05,20200513_enamine_to_xchem.csv,COCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,Z4457849213,4,100,,Racemic or presumed racemic or meso,Z4457849213,UNK,UNK
1181202-Y4-01,E07,20200513_enamine_to_xchem.csv,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3)=CN1,Z4457849224,4,100,,Racemic or presumed racemic or meso,Z4457849224,UNK,UNK
1181202-Y4-01,N05,20200513_enamine_to_xchem.csv,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CCOCC2)C=3C=CC=NC3)C(=O)C=C,Z4457849226,4,100,,Racemic or presumed racemic or meso,Z4457849226,UNK,UNK
1181202-Y4-01,C05,20200513_enamine_to_xchem.csv,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CCCC2)C=3C=CC=NC3)C(=O)C=C,Z4457849222,4,100,,Racemic or presumed racemic or meso,Z4457849222,UNK,UNK
1181202-Y4-01,L05,20200513_enamine_to_xchem.csv,CCC(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,Z4457849218,4,100,,Diastereomeric mixture,Z4457849218,UNK,UNK
1181202-Y4-01,A05,20200513_enamine_to_xchem.csv,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC2CCCO2)C=3C=CC=NC3)C(=O)C=C,Z4457849219,4,100,,Diastereomeric mixture,Z4457849219,UNK,UNK
1181202-Y4-01,F05,20200513_enamine_to_xchem.csv,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CCCCC2)C=3C=CC=NC3)C(=O)C=C,Z4457849195,4,100,,Racemic or presumed racemic or meso,Z4457849195,UNK,UNK
1181202-Y4-01,H05,20200513_enamine_to_xchem.csv,CSCCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,Z4457849197,4,100,,Racemic or presumed racemic or meso,Z4457849197,UNK,UNK
1181202-Y4-01,O05,20200513_enamine_to_xchem.csv,CCOC(=O)CCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,Z4457849194,4,100,,Racemic or presumed racemic or meso,Z4457849194,UNK,UNK
1181202-Y4-01,I05,20200513_enamine_to_xchem.csv,CNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,Z4457849190,4,100,,Racemic or presumed racemic or meso,Z4457849190,UNK,UNK
1181202-Y4-01,AF06,20200513_enamine_to_xchem.csv,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=3OCCOC3C2)C=4C=CC=NC4)C(=O)C=C,Z4457849191,4,100,,Racemic or presumed racemic or meso,Z4457849191,UNK,UNK
1181202-Y4-01,U05,20200513_enamine_to_xchem.csv,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC2CCOC2)C=3C=CC=NC3)C(=O)C=C,Z4457849206,4,100,,Diastereomeric mixture,Z4457849206,UNK,UNK
1181202-Y4-01,G05,20200513_enamine_to_xchem.csv,CC(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,Z4457849208,4,100,,Racemic or presumed racemic or meso,Z4457849208,UNK,UNK
1181202-Y4-01,B07,20200513_enamine_to_xchem.csv,COC=1C=CC=CC1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3,Z4457849205,4,100,,Racemic or presumed racemic or meso,Z4457849205,UNK,UNK
1181202-Y4-01,E05,20200513_enamine_to_xchem.csv,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CCC2)C=3C=CC=NC3)C(=O)C=C,Z4457849201,4,100,,Racemic or presumed racemic or meso,Z4457849201,UNK,UNK
1181202-Y4-01,K05,20200513_enamine_to_xchem.csv,CSCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,Z4457849204,4,100,,Racemic or presumed racemic or meso,Z4457849204,UNK,UNK
